strap,landUnitValue,landUnitType,landClass,landClassDscr,GIS_sqft,GIS_acreage,status_cd
R0000172,7408.0,SF,1112.0,SINGLE FAM.RES.-LAND,7408,0.17,A 
R0000173,6120.0,SF,1112.0,SINGLE FAM.RES.-LAND,6120,0.14,A 
R0000175,8016.0,SF,1112.0,SINGLE FAM.RES.-LAND,8016,0.184,A 
R0000176,7040.0,SF,1112.0,SINGLE FAM.RES.-LAND,7040,0.162,A 
R0000177,3501.0,SF,1112.0,SINGLE FAM.RES.-LAND,3596,0.0826,A 
R0000178,7320.0,SF,1112.0,SINGLE FAM.RES.-LAND,7320,0.168,A 
R0000180,9233.0,SF,1112.0,SINGLE FAM.RES.-LAND,9233,0.212,A 
R0000181,3742.0,SF,1112.0,SINGLE FAM.RES.-LAND,3742,0.086,A 
R0000182,7241.0,SF,1112.0,SINGLE FAM.RES.-LAND,5449,0.1251,A 
R0000183,7253.0,SF,1112.0,SINGLE FAM.RES.-LAND,7253,0.167,A 
R0000185,6555.0,SF,1112.0,SINGLE FAM.RES.-LAND,6555,0.15,A 
R0000188,6786.0,SF,1112.0,SINGLE FAM.RES.-LAND,6786,0.156,A 
R0000192,7251.0,SF,1112.0,SINGLE FAM.RES.-LAND,7251,0.166,A 
R0000195,10944.0,SF,1112.0,SINGLE FAM.RES.-LAND,10944,0.251,A 
R0000196,6339.0,SF,1112.0,SINGLE FAM.RES.-LAND,6339,0.146,A 
R0000198,2384.0,SF,1112.0,SINGLE FAM.RES.-LAND,2384,0.055,A 
R0000199,7890.0,SF,1112.0,SINGLE FAM.RES.-LAND,7890,0.181,A 
R0000200,4538.0,SF,1112.0,SINGLE FAM.RES.-LAND,4538,0.104,A 
R0000201,9058.0,SF,1112.0,SINGLE FAM.RES.-LAND,9058,0.208,A 
R0000202,10694.0,SF,1115.0,DUP/TRIPLEXES-LAND,10694,0.246,A 
R0000206,8045.0,SF,1112.0,SINGLE FAM.RES.-LAND,8045,0.185,A 
R0000207,3447.0,SF,1112.0,SINGLE FAM.RES.-LAND,3447,0.079,A 
R0000208,2360.0,SF,1112.0,SINGLE FAM.RES.-LAND,2360,0.054,A 
R0000212,7626.0,SF,1112.0,SINGLE FAM.RES.-LAND,7626,0.175,A 
R0000213,7219.0,SF,1112.0,SINGLE FAM.RES.-LAND,7219,0.166,A 
R0000214,8766.0,SF,1112.0,SINGLE FAM.RES.-LAND,8766,0.201,A 
R0000215,6029.0,SF,1112.0,SINGLE FAM.RES.-LAND,6029,0.138,A 
R0000224,3575.0,SF,1112.0,SINGLE FAM.RES.-LAND,3575,0.082,A 
R0000225,2572.0,SF,1112.0,SINGLE FAM.RES.-LAND,2572,0.059,A 
R0000227,3096.0,SF,1112.0,SINGLE FAM.RES.-LAND,3096,0.071,A 
R0000236,15094.0,SF,1112.0,SINGLE FAM.RES.-LAND,15094,0.347,A 
R0000242,5336.0,SF,1112.0,SINGLE FAM.RES.-LAND,5336,0.122,A 
R0000244,5499.0,SF,1112.0,SINGLE FAM.RES.-LAND,5499,0.126,A 
R0000252,6839.0,SF,1112.0,SINGLE FAM.RES.-LAND,6839,0.157,A 
R0000253,7113.0,SF,1112.0,SINGLE FAM.RES.-LAND,7113,0.163,A 
R0000254,19615.0,SF,1112.0,SINGLE FAM.RES.-LAND,19615,0.45,A 
R0000255,1801.0,SF,1112.0,SINGLE FAM.RES.-LAND,1801,0.041,A 
R0000259,11328.0,SF,1112.0,SINGLE FAM.RES.-LAND,11328,0.26,A 
R0000261,6110.0,SF,1112.0,SINGLE FAM.RES.-LAND,6110,0.14,A 
R0000264,2585.0,SF,1112.0,SINGLE FAM.RES.-LAND,2585,0.059,A 
R0000270,6838.0,SF,1112.0,SINGLE FAM.RES.-LAND,6838,0.157,A 
R0000271,11375.0,SF,1112.0,SINGLE FAM.RES.-LAND,11375,0.2611,A 
R0000277,11272.0,SF,1112.0,SINGLE FAM.RES.-LAND,11272,0.259,A 
R0000280,6196.0,SF,1112.0,SINGLE FAM.RES.-LAND,6196,0.142,A 
R0000282,14936.0,SF,1112.0,SINGLE FAM.RES.-LAND,14936,0.343,A 
R0000286,11618.0,SF,1112.0,SINGLE FAM.RES.-LAND,11618,0.267,A 
R0000288,26438.0,SF,1112.0,SINGLE FAM.RES.-LAND,22454,0.5155,A 
R0000304,6827.0,SF,1112.0,SINGLE FAM.RES.-LAND,6827,0.157,A 
R0000306,10049.0,SF,1112.0,SINGLE FAM.RES.-LAND,10049,0.231,A 
R0000307,17345.0,SF,1112.0,SINGLE FAM.RES.-LAND,17345,0.398,A 
R0000314,6358.0,SF,1112.0,SINGLE FAM.RES.-LAND,6358,0.146,A 
