strap,tax_yr,bldAcutalVal,LandAcutalVal,xfActualVal,totalActualVal,landAssessedVal,bldAssessedVal,xfAssessedVal,totalAssessedVal,status_cd
R0000201,2021,1561300,1325700,,2887000,94788.0,111633.0,,206421,A 
R0000202,2021,133200,1198800,,1332000,85714.0,9524.0,,95238,A 
R0000206,2021,111880,1006920,,1118800,71995.0,7999.0,,79994,A 
R0000207,2021,132400,729100,,861500,52131.0,9467.0,,61598,A 
R0000208,2021,265400,406700,,672100,29079.0,18976.0,,48055,A 
R0000212,2021,251900,651800,,903700,46604.0,18011.0,,64615,A 
R0000213,2021,463600,390800,,854400,27942.0,33147.0,,61089,A 
R0000214,2021,205900,698800,,904700,49964.0,14722.0,,64686,A 
R0000215,2021,625860,650000,,1275860,46475.0,44749.0,,91224,A 
R0000224,2021,532200,567100,,1099300,40548.0,38052.0,,78600,A 
R0000225,2021,303100,405000,,708100,28958.0,21672.0,,50630,A 
R0000227,2021,148000,444400,,592400,31775.0,10582.0,,42357,A 
R0000236,2021,122920,1106280,,1229200,79099.0,8789.0,,87888,A 
R0000242,2021,141800,656900,,798700,46968.0,10139.0,,57107,A 
R0000244,2021,774600,763100,,1537700,54562.0,55384.0,,109946,A 
R0000252,2021,126400,722700,,849100,51673.0,9038.0,,60711,A 
R0000253,2021,1102500,1153900,,2256400,82504.0,78829.0,,161333,A 
R0000254,2021,1390100,1456400,,2846500,104133.0,99392.0,,203525,A 
R0000255,2021,1260600,402500,,1663100,28779.0,90133.0,,118912,A 
R0000259,2021,74290,668610,,742900,47806.0,5312.0,,53118,A 
R0000261,2021,583900,1069500,,1653400,76469.0,41749.0,,118218,A 
R0000264,2021,173500,457200,,630700,32690.0,12405.0,,45095,A 
R0000270,2021,187400,361100,,548500,25819.0,13399.0,,39218,A 
R0000271,2021,2072800,518500,,2591300,37073.0,148205.0,,185278,A 
R0000277,2021,212300,530100,,742400,37902.0,15179.0,,53081,A 
R0000280,2021,194800,977600,,1172400,69898.0,13928.0,,83826,A 
R0000282,2021,283600,1023100,,1306700,73152.0,20277.0,,93429,A 
R0000286,2021,794600,1501400,,2296000,107350.0,56814.0,,164164,A 
R0000288,2021,870400,890000,,1760400,63635.0,62234.0,,125869,A 
R0000304,2021,189200,1026200,,1215400,73373.0,13528.0,,86901,A 
R0000306,2021,284200,748200,,1032400,53496.0,20320.0,,73816,A 
R0000307,2021,273600,1062100,,1335700,75940.0,19562.0,,95502,A 
R0000314,2021,91600,824400,,916000,58945.0,6549.0,,65494,A 
R0000315,2021,456900,874500,,1331400,62527.0,32668.0,,95195,A 
R0000318,2021,961500,498500,,1460000,35643.0,68747.0,,104390,A 
R0000320,2021,157400,602300,,759700,43064.0,11254.0,,54318,A 
R0000321,2021,377200,374600,,751800,26784.0,26970.0,,53754,A 
R0000324,2021,113950,1025550,,1139500,73327.0,8147.0,,81474,A 
R0000327,2021,481400,423500,,904900,30280.0,34420.0,,64700,A 
R0000328,2021,919800,671300,,1591100,47998.0,65766.0,,113764,A 
R0000334,2021,706840,633000,,1339840,45260.0,50539.0,,95799,A 
R0000340,2021,642000,646600,,1288600,46232.0,45903.0,,92135,A 
R0000341,2021,235000,410300,,645300,29336.0,16803.0,,46139,A 
R0000342,2021,1026300,762200,,1788500,54497.0,73380.0,,127877,A 
R0000344,2021,1063900,832800,,1896700,59545.0,76069.0,,135614,A 
