"pff_PLAYID","GameKey","pff_QUARTER","pff_CLOCK","pff_DEFTEAM","pff_DEFSCORE","pff_OFFTEAM","pff_OFFSCORE","pff_DRIVE","pff_DRIVEPLAY","pff_GAINLOSSNET","pff_GAINLOSS","pff_KICKYARDS","pff_NOHUDDLE","pff_NOPLAY","pff_PENALTYYARDS","pff_PREVIOUSPFFPLAYID","pff_RETURNYARDS","pff_SORTORDER","pff_TIMETOPRESSURE","pff_TIMETOTHROW","pff_YARDSAFTERCATCH","pff_YARDSAFTERCONTACT","pff_2MINUTE","pff_BALLCARRIER","pff_BUNCHED","pff_DRIVEENDEVENT","pff_DRIVESTARTEVENT","pff_DROPBACKTYPE","pff_HASH","pff_INCOMPLETIONTYPE","pff_INJURED","pff_KICKDEPTH","pff_KICKER","pff_KICKRESULT","pff_KICKWIDTH","pff_MOFOCPLAYED","pff_MOFOCSHOWN","pff_PASSRESULT","pff_PASSROUTETARGETGROUP","pff_PASSWIDTH","pff_PASSDEPTH","pff_POAACTUAL","pff_POAINTENDED","pff_RBDIRECTION","pff_RETURNER","pff_RUNPASS","pff_SPECIALTEAMSTYPE","pff_TOUCHDOWN","pff_PLAYCLOCK","pff_RUNPASSOPTION","pff_CONTESTED","pff_FIRSTDOWNGAINED","pff_NEXTPLAYID","pff_OFFTIMEOUTSREMAINING","pff_DEFTIMEOUTSREMAINING","JetPers","AsFormation","QBPos","PFFRunType","PFFPlayType","Neutral","Possession","RedZone","NumDB","Rushers","CovNumber","ManZone","CovHigh","CovBlitz","CovHighBlitz","DefPers","Perspective","WP","WP_Punt","WP_FG","WP_Go","EPPT","EP","Down","YardsToGo","AbsoluteYardLine","PlayDescription"
4951189,59072,4,"12:45","DAL",27,"PHI",27,7,9,0,0,NA,0,0,NA,4951187,NA,131,NA,NA,NA,1,0,"PHI 26","","TOUCHDOWN","KICKOFF - TB","","L","","","","","","","C","C","","","","","LE","LE","L","","R","","",6,0,"",NA,4951191,3,3,"13","13","Shotgun","COUNTER","COUNTER",1,0,0,5,NA,"1","Man",1,"Man","Man","3 3 5","DAL",0.433,1,0.492,0.522,"R",3.93028348002705,2,6,26,"(12:45) (Shotgun) M.Sanders left end to DAL 26 for no gain (A.Barr)."
4951191,59072,4,"12:01","DAL",27,"PHI",27,7,10,14,14,NA,0,0,NA,4951189,NA,132,NA,1.9,3,1,0,"PHI 11","","TOUCHDOWN","KICKOFF - TB","SD","L","","PHI 11","","","","","C","C","COMPLETE","8R","21","11","","","","","P","","",2,0,"",1,4951193,3,3,"11","11","Shotgun","","QUICK GAME",0,1,0,5,"5+","3","Zone",1,"Zone Pressure","1 Zone Pressure","4 2 5","DAL",0.463,1,0.488,0.519,"P",3.18944934047356,3,6,26,"(12:01) (Shotgun) G.Minshew pass short middle to A.Brown to DAL 12 for 14 yards (M.Hooker). PHI-A.Brown was injured during the play. His return is Questionable."
4951193,59072,4,"11:28","DAL",27,"PHI",27,7,11,3,3,NA,0,0,NA,4951191,NA,133,NA,NA,NA,3,0,"PHI 26","","TOUCHDOWN","KICKOFF - TB","","L","","","","","","","O","O","","","","","MR","MR","R","","R","","",15,0,"",NA,4951197,3,3,"13","13","Shotgun","INSIDE ZONE READ","INSIDE ZONE READ",0,0,1,5,NA,"0","Man",0,"Zero","Zero","3 3 5","DAL",0.367,1,0.449,0.502,"R",5.15678882803595,1,10,12,"(11:28) (Shotgun) M.Sanders right guard to DAL 9 for 3 yards (M.Parsons)."
4951197,59072,4,"10:47","DAL",27,"PHI",27,7,12,0,0,NA,0,0,NA,4951193,NA,134,NA,NA,NA,4,0,"PHI 26","","TOUCHDOWN","KICKOFF - TB","","R","","","","","","","O","O","","","","","ML","ML","L","","R","","",5,0,"",NA,4951201,3,3,"13","13","Shotgun","INSIDE ZONE READ","INSIDE ZONE READ",0,0,1,5,NA,"0","Man",0,"Zero","Zero","3 3 5","DAL",0.371,1,0.441,0.471,"R",4.88116780176668,2,7,9,"(10:47) (Shotgun) M.Sanders left tackle to DAL 9 for no gain (A.Barr)."
4951201,59072,4,"10:03","DAL",27,"PHI",27,7,13,9,9,NA,0,0,0,4951197,NA,135,NA,1.5,2,1,0,"PHI 06","PHI 11; PHI 88","TOUCHDOWN","KICKOFF - TB","SD","L","","","","","","","O","O","COMPLETE","3R","44","7","","","","","P","","PHI 06",3,0,"",1,4951204,3,3,"11","10","Shotgun","","QUICK GAME",0,0,1,5,"5+","0","Man",0,"Zero","Zero","3 3 5","DAL",0.399,1,0.436,0.468,"P",4.05142889203824,3,7,9,"(10:03) (Shotgun) G.Minshew pass short right to D.Smith for 9 yards, TOUCHDOWN.
Penalty on DAL-J.Kearse, Defensive Holding, declined."
4951204,59072,4,"09:59","DAL",27,"PHI",33,NA,NA,0,NA,NA,0,0,NA,4951201,NA,136,NA,NA,NA,NA,0,"","","","","","C","","","","PHI 04","MADE - M","","","","","","","","","","","","","EXTRA POINT","",NA,0,"",NA,4951207,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAL",0.2574,1,0.177,0.141,"Extra Point",0.936890574214518,0,0,15,"J.Elliott extra point is GOOD, Center-R.Lovato, Holder-B.Kern."
4951207,59072,4,"09:59","PHI",34,"DAL",27,NA,NA,40,75,75,0,0,NA,4951204,NA,137,NA,NA,NA,NA,0,"","","","","","C","","","75","PHI 04","TOUCHBACK","37","","","","","","","","","","DAL 09","","KICKOFF","",NA,0,"",NA,4951212,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAL",0.255,0.25,0.399,0.169,"Kickoff",1.02787229920246,0,0,65,"J.Elliott kicks 65 yards from PHI 35 to end zone, Touchback."
4951212,59072,4,"09:59","PHI",34,"DAL",27,9,1,24,24,NA,0,0,NA,4951207,NA,138,2.4,2.5,25,12,0,"DAL 87","","TOUCHDOWN","KICKOFF - TB","SD","R","","","","","","","C","C","COMPLETE","1R","39","-1","","","","","P","","",9,0,"",1,4951217,3,3,"12","12","UC","OUTSIDE ZONE","PLAY ACTION",1,0,0,4,"5+","1","Man",1,"Man Pressure","Man Pressure","5 2 4","DAL",0.255,0.17,0.107,0.17,"P",0.977105090910883,1,10,75,"(9:59) D.Prescott pass short right to J.Ferguson to DAL 49 for 24 yards (J.Bradberry)."
4951217,59072,4,"09:19","PHI",34,"DAL",27,9,2,-11,-9,NA,0,0,NA,4951212,NA,139,3.2,3.2,NA,NA,0,"DAL 04","","TOUCHDOWN","KICKOFF - TB","SD","R","","","","","","","C","C","SACK","","","0","","","","","P","","",11,0,"",NA,4951223,3,3,"12","12","UC","","STANDARD DROP",1,0,0,5,"5+","3","Zone",1,"Zone Pressure","1 Zone Pressure","5 1 5","DAL",0.317,0.187,0.127,0.206,"P",2.66657061564537,1,10,51,"(9:19) D.Prescott sacked at DAL 40 for -9 yards (H.Reddick). FUMBLES (H.Reddick) [H.Reddick], recovered by DAL-T.Biadasz at DAL 38."
4951223,59072,4,"08:42","PHI",34,"DAL",27,9,3,-9,-9,NA,0,0,NA,4951217,NA,140,2.1,3.3,NA,NA,0,"DAL 04","","TOUCHDOWN","KICKOFF - TB","SR","C","","","","","","","C","C","SACK","","","0","","","","","P","","",7,0,"",NA,4951226,3,3,"11","00","Empty","","STANDARD DROP",1,0,0,5,"4","1","Man",1,"Man","Man","4 2 5","DAL",0.244,0.171,0.109,0.133,"P",0.903476710590733,2,21,62,"(8:42) (Shotgun) D.Prescott sacked at DAL 29 for -9 yards (J.Sweat)."
4951226,59072,4,"08:02","PHI",34,"DAL",27,9,4,52,52,NA,0,0,NA,4951223,NA,141,NA,3.7,1,1,0,"DAL 16","","TOUCHDOWN","KICKOFF - TB","SD","R","","","","","","","O","O","COMPLETE","9R","4","51","","","L:R","","P","","",7,0,"1; PHI 33",1,4951229,3,3,"11","20","Shotgun","","STANDARD DROP",0,1,0,6,"4","2Z","Zone",2,"Zone","2 Zone","4 1 6","DAL",0.184,0.154,0.099,0.114,"P",-1.01560650936444,3,30,71,"(8:02) (Shotgun) D.Prescott pass deep left to T.Hilton to PHI 19 for 52 yards (J.Scott)."
4951229,59072,4,"07:20","PHI",34,"DAL",27,9,5,-1,-1,NA,1,0,NA,4951226,NA,142,4.2,4.4,NA,NA,0,"DAL 04","DAL 09; DAL 13","TOUCHDOWN","KICKOFF - TB","RR","L","","","","","","","O","O","SACK","","","0","","","","","P","","",NA,0,"",NA,4951235,3,3,"11","11","UC","OUTSIDE ZONE","MOVING POCKET",0,0,1,5,"4","4","Zone",2,"Zone","2 Zone","4 2 5","DAL",0.403,0,0.277,0.246,"P",4.81586584620219,1,10,19,"(7:20) (No Huddle) D.Prescott sacked at PHI 20 for -1 yards (H.Reddick)."
4951235,59072,4,"06:38","PHI",34,"DAL",27,9,6,13,13,NA,0,0,NA,4951229,NA,143,1.7,1.9,8,5,0,"DAL 20","DAL 85; DAL 88","TOUCHDOWN","KICKOFF - TB","SD","R","","","","","","","C","O","COMPLETE","H6","33","5","","","","","P","","",4,0,"",1,4951238,3,3,"11","10","Shotgun","","QUICK GAME",0,0,1,5,"5+","3","Zone",1,"Zone Pressure","1 Zone Pressure","4 2 5","DAL",0.361,0,0.266,0.227,"P",3.72557245067098,2,11,20,"(6:38) (Shotgun) D.Prescott pass short middle to T.Pollard to PHI 7 for 13 yards (M.Epps)."
4951238,59072,4,"05:57","PHI",34,"DAL",27,9,7,0,NA,NA,0,0,NA,4951235,NA,144,NA,2.2,NA,NA,0,"","DAL 87; DAL 88; DAL 89","TOUCHDOWN","KICKOFF - TB","SD","R","RE","","","","","","C","C","INCOMPLETE","H3","19","0","","","","","P","","",5,0,"",NA,4951241,3,3,"13","11","Shotgun","","STANDARD DROP",0,0,1,4,"5+","1","Man",1,"Man Pressure","Man Pressure","5 2 4","DAL",0.438,0,0.276,0.223,"P",5.47748004706781,1,7,7,"(5:57) (Shotgun) D.Prescott pass incomplete short left to T.Pollard."
4951241,59072,4,"05:53","PHI",34,"DAL",27,9,8,7,7,NA,0,0,NA,4951238,NA,145,NA,2.3,0,0,0,"DAL 88","","TOUCHDOWN","KICKOFF - TB","SD","R","","","","","","","O","O","COMPLETE","9R","50","13","","","","","P","","DAL 88",1,0,"",1,4951243,3,3,"11","11","Shotgun","","STANDARD DROP",0,0,1,5,"4","RedZone","Other",NA,"Other","Other","5 1 5","DAL",0.408,0,0.275,0.222,"P",5.01272320814932,2,7,7,"(5:53) (Shotgun) D.Prescott pass short right to C.Lamb for 7 yards, TOUCHDOWN."
4951243,59072,4,"05:49","PHI",34,"DAL",33,NA,NA,0,NA,NA,0,0,NA,4951241,NA,146,NA,NA,NA,NA,0,"","","","","","L","","","","DAL 19","MADE - IL","","","","","","","","","","","","","EXTRA POINT","",NA,0,"",NA,4951246,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAL",0.5207,0,0.658,0.749,"Extra Point",0.936890574214518,0,0,15,"B.Maher extra point is GOOD, Center-M.Overton, Holder-B.Anger."
4951246,59072,4,"05:49","DAL",34,"PHI",34,NA,NA,43,68,68,0,0,NA,4951243,25,147,NA,NA,NA,NA,0,"PHI 35","","","","","C","","","68","DAL 19","RETURNED","25","","","","","","","","","","PHI 35","","KICKOFF","",NA,0,"",NA,4951251,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAL",0.527,0.533,0.353,0.651,"Kickoff",1.02787229920246,0,0,65,"B.Maher kicks 68 yards from DAL 35 to PHI -3. B.Scott to PHI 22 for 25 yards (L.Gifford)."
4951251,59072,4,"05:44","DAL",34,"PHI",34,8,1,3,3,NA,0,0,NA,4951246,NA,148,NA,NA,NA,5,0,"PHI 26","","INTERCEPTION","KICKOFF - RETURN","","R","","","","","","","C","C","","","","","RG","RG","R","","R","","",5,0,"",NA,4951254,3,3,"12","12","UC","PIN PULL","PIN PULL",1,0,0,5,NA,"1","Man",1,"Man","Man","3 3 5","DAL",0.538,0.644,0.805,0.693,"R",0.765186855807832,1,10,78,"(5:44) M.Sanders right tackle to PHI 25 for 3 yards (D.Lawrence; Q.Bohanna)."
4951254,59072,4,"05:03","DAL",34,"PHI",34,8,2,23,23,NA,0,0,NA,4951251,NA,149,NA,2.5,1,0,0,"PHI 06","","INTERCEPTION","KICKOFF - RETURN","SD","R","","","","","","","O","C","COMPLETE","9R","52","22","","","","","P","","",4,0,"",1,4951257,3,3,"11","10","Shotgun","","STANDARD DROP",1,0,0,5,"4 Sim","2Z","Zone",2,"Zone Simulated","2 Zone Simulated","3 3 5","DAL",0.547,0.636,0.802,0.672,"P",0.469628407801631,2,7,75,"(5:03) (Shotgun) G.Minshew pass deep right to D.Smith ran ob at PHI 48 for 23 yards."
4951257,59072,4,"04:57","DAL",34,"PHI",34,8,3,0,NA,NA,1,0,NA,4951254,NA,150,2.7,4.9,NA,NA,0,"","PHI 06; PHI 16","INTERCEPTION","KICKOFF - RETURN","SD","R","TA","","","","","","C","C","THROWN AWAY","","","0","","","L","","P","","",31,0,"",NA,4951261,3,3,"11","11","Shotgun","","QUICK GAME",1,0,0,5,"4 Sim","3","Zone",1,"Zone Simulated","1 Zone Simulated","3 3 5","DAL",0.431,0.575,0.736,0.607,"P",2.63997359990308,1,10,52,"(4:57) (No Huddle, Shotgun) G.Minshew to PHI 42 for -6 yards. FUMBLES, and recovers at PHI 42. G.Minshew pass incomplete short right."
4951261,59072,4,"04:51","DAL",34,"PHI",34,8,4,6,6,NA,0,0,NA,4951257,NA,151,NA,2.4,6,1,0,"PHI 26","","INTERCEPTION","KICKOFF - RETURN","SD","R","","PHI 65","","","","","O","C","COMPLETE","H7","28","0","","","L","","P","","",4,0,"",NA,4951268,3,3,"11","10","Shotgun","","STANDARD DROP",1,0,0,5,"4 Sim","2Z","Zone",2,"Zone Simulated","2 Zone Simulated","3 3 5","DAL",0.461,0.575,0.736,0.607,"P",2.07655780563688,2,10,52,"(4:51) (Shotgun) G.Minshew pass short middle to M.Sanders to DAL 46 for 6 yards (D.Bland). PHI-L.Johnson was injured during the play. His return is Questionable."
4951268,59072,4,"04:24","DAL",34,"PHI",34,8,5,0,NA,NA,0,0,NA,4951261,NA,152,NA,1.8,NA,NA,0,"","PHI 06; PHI 88","INTERCEPTION","KICKOFF - RETURN","SD","R","CP","","","","","","C","O","INTERCEPTION","2R","20","8","","","","","P","","",21,0,"1; DAL 26",NA,4951274,3,3,"11","01","Empty","","QUICK GAME",0,1,0,6,"4 Sim","1","Man",1,"Man Simulated","Man Simulated","3 2 6","DAL",0.458,0.565,0.719,0.53,"P",1.93443481022789,3,4,46,"(4:24) (Shotgun) G.Minshew pass short left intended for Q.Watkins INTERCEPTED by D.Bland at DAL 40. D.Bland to DAL 40 for no gain (Q.Watkins)."
4951274,59072,4,"04:19","PHI",34,"DAL",34,10,1,16,16,NA,0,0,NA,4951268,NA,153,NA,2,11,3,0,"DAL 86","","FIELD GOAL","INTERCEPTION","SD","C","","","","","","","C","O","COMPLETE","2R","30","5","","","","","P","","",13,0,"",1,4951278,3,3,"11","11","Shotgun","","STANDARD DROP",1,0,0,4,"5+","1","Man",1,"Man Pressure","Man Pressure","5 2 4","DAL",0.672,0.536,0.348,0.486,"P",2.14994536053658,1,10,60,"(4:19) (Shotgun) D.Prescott pass short middle to D.Schultz to PHI 44 for 16 yards (K.White)."
4951278,59072,4,"03:45","PHI",34,"DAL",34,10,2,10,10,NA,0,0,NA,4951274,NA,154,NA,1.5,3,3,0,"DAL 88","","FIELD GOAL","INTERCEPTION","SD","L","","","","","","","C","O","COMPLETE","2R","27","7","","","","","P","","",14,0,"1; PHI 33",1,4951279,3,3,"11","11","Shotgun","","QUICK GAME",1,0,0,5,"5+","1","Man",1,"Man Pressure","Man Pressure","5 1 5","DAL",0.733,0.561,0.402,0.542,"P",2.89572113430796,1,10,44,"(3:45) (Shotgun) D.Prescott pass short middle to C.Lamb to PHI 34 for 10 yards (J.Scott)."
4951279,59072,4,"03:06","PHI",34,"DAL",34,10,3,0,NA,NA,0,0,NA,4951278,NA,155,NA,2,NA,NA,0,"","DAL 13; DAL 88","FIELD GOAL","INTERCEPTION","SD","L","PD","","","","","","C","C","INCOMPLETE","4R","27","5","","","","","P","","",5,0,"1; PHI 24",NA,4951282,3,3,"11","00","Empty","","STANDARD DROP",1,0,0,5,"4","1","Man",1,"Man","Man","4 2 5","DAL",0.772,0.548,0.615,0.575,"P",3.74958640019776,1,10,34,"(3:06) (Shotgun) D.Prescott pass incomplete short middle to N.Brown (J.Bradberry)."
4951282,59072,4,"03:02","PHI",34,"DAL",34,10,4,5,5,NA,0,0,NA,4951279,NA,156,NA,1.5,6,4,0,"DAL 85","DAL 13; DAL 85; DAL 88","FIELD GOAL","INTERCEPTION","SD","L","","","","","","","O","O","COMPLETE","LS","21","-1","","","","","P","","",9,0,"",NA,4951286,3,3,"11","10","Shotgun","POWER","SHOVEL PASS",1,0,0,5,"4","6","Zone",2,"Zone","2 Zone","4 2 5","DAL",0.748,0.547,0.615,0.574,"P",3.25871344317556,2,10,34,"(3:02) (Shotgun) D.Prescott pass short middle to N.Brown to PHI 29 for 5 yards (T.Edwards)."
4951286,59072,4,"02:28","PHI",34,"DAL",34,10,5,0,NA,NA,0,0,NA,4951282,NA,157,2.5,2.6,NA,NA,0,"","DAL 13; DAL 85; DAL 88","FIELD GOAL","INTERCEPTION","SD","L","DP","","","","","","C","O","INCOMPLETE","XR","16","4","","","","","P","","",12,0,"1; PHI 42",NA,4951287,3,3,"11","10","Shotgun","","STANDARD DROP",0,1,0,6,"4","1","Man",1,"Man","Man","4 1 6","DAL",0.746,0,0.676,0.64,"P",2.95605206762685,3,5,29,"(2:28) (Shotgun) D.Prescott pass incomplete short middle to M.Gallup."
4951287,59072,4,"02:24","PHI",34,"DAL",34,NA,NA,0,48,48,0,0,NA,4951286,NA,158,NA,NA,NA,NA,0,"","","","","","L","","","","DAL 19","MADE - M","","","","","","","","","","","","","FIELD GOAL","",3,0,"",NA,4951290,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAL",0.677,0,0.677,0.64,"Field Goal",1.33235215514275,4,5,29,"(2:24) B.Maher 48 yard field goal is GOOD, Center-M.Overton, Holder-B.Anger."
4951290,59072,4,"02:19","DAL",37,"PHI",34,NA,NA,40,74,74,0,0,NA,4951287,NA,159,NA,NA,NA,NA,0,"","","","","","C","","","73","DAL 19","TOUCHBACK","16","","","","","","","","","","PHI 35","","KICKOFF","",NA,0,"",NA,4951294,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAL",0.76,0.765,0.572,0.847,"Kickoff",1.02787229920246,0,0,65,"B.Maher kicks 65 yards from DAL 35 to end zone, Touchback."
4951294,59072,4,"02:19","DAL",37,"PHI",34,9,1,-4,-1,NA,0,0,NA,4951290,NA,160,NA,NA,NA,2,2,"PHI 26","","FUMBLE","KICKOFF - TB","","L","","","","","","","C","O","","","","","LE","RG","R","","R","","",8,0,"",NA,4951298,3,3,"11","11","Shotgun","POWER","POWER",0,0,0,5,NA,"3","Zone",1,"Zone","1 Zone","3 3 5","DAL",0.76,0.841,0.923,0.852,"R",0.977105090910883,1,10,75,"(2:19) (Shotgun) M.Sanders up the middle to PHI 24 for -1 yards (C.Watkins). FUMBLES (C.Watkins), touched at PHI 22, RECOVERED by DAL-A.Barr at PHI 21."
4951298,59072,4,"02:07","PHI",34,"DAL",37,11,1,16,16,NA,0,0,NA,4951294,NA,161,NA,NA,NA,1,4,"DAL 04","DAL 13; DAL 85; DAL 88","FIELD GOAL","FUMBLE","","L","","","","","","","C","C","","","","","LE","LE","R","","R","","",3,0,"",1,4951302,3,3,"11","10","Shotgun","INSIDE ZONE READ","INSIDE ZONE READ",0,0,0,4,NA,"3","Zone",1,"Zone Pressure","1 Zone Pressure","5 2 4","DAL",0.92,0,0.87,0.826,"R",4.52316000306223,1,10,21,"(2:07) (Shotgun) D.Prescott left end ran ob at PHI 5 for 16 yards (R.Blankenship)."
4951302,59072,4,"02:01","PHI",34,"DAL",37,11,2,-9,-9,NA,0,0,NA,4951298,NA,162,3.2,3.9,NA,NA,4,"DAL 04","","FIELD GOAL","FUMBLE","RR","L","","","","","","","O","O","SACK","","","0","","","L","","P","","",3,0,"",NA,4951305,3,3,"13","13","UC","OUTSIDE ZONE","MOVING POCKET",0,0,0,4,"5+","0","Man",0,"Zero","Zero","5 2 4","DAL",0.941,0,0.891,0.866,"P",5.75134717726798,1,5,5,"(2:01) D.Prescott sacked at PHI 14 for -9 yards (sack split by K.White and J.Sweat)."
4951305,59072,4,"01:56","PHI",34,"DAL",37,11,3,7,7,NA,0,0,NA,4951302,NA,163,NA,NA,NA,3,4,"DAL 20","DAL 13; DAL 85","FIELD GOAL","FUMBLE","","C","","","","","","","C","O","","","","","LE","LE","L","","R","","",18,0,"",NA,4951309,3,3,"11","11","UC","PIN PULL","PIN PULL",0,0,0,5,NA,"1","Man",1,"Man","Man","4 2 5","DAL",0.919,0,0.887,0.819,"R",3.88629687091724,2,14,14,"(1:56) T.Pollard left end to PHI 7 for 7 yards (K.White; T.Edwards)."
4951309,59072,4,"01:50","PHI",34,"DAL",37,11,4,4,4,NA,0,0,NA,4951305,NA,164,2.6,4.4,NA,2,4,"DAL 04","DAL 85; DAL 86; DAL 88","FIELD GOAL","FUMBLE","SD","L","","","","","","","O","O","RUN","","","0","QB SCRAMBLE","QB SCRAMBLE","","","P","","",15,0,"",NA,4951312,3,2,"11","10","Shotgun","","STANDARD DROP",0,0,0,5,"4","RedZone","Other",NA,"Other","Other","4 2 5","DAL",0.929,0,0.897,0.855,"P",4.11454420922845,3,7,7,"(1:50) (Shotgun) D.Prescott scrambles up the middle to PHI 3 for 4 yards (T.Edwards)."
4951312,59072,4,"01:44","PHI",34,"DAL",37,11,5,-5,NA,NA,0,1,-5,4951309,NA,165,NA,NA,NA,NA,4,"","DAL 85; DAL 86","FIELD GOAL","FUMBLE","","L","","","","","","","","","","","","","","","","","X","","",0,0,"",NA,4951316,3,1,"11","10","Shotgun","","OTHER",0,0,0,5,NA,"Other","Other",NA,"Other","Other","5 1 5","DAL",0.889,0,0.904,0.889,"X",2.98421737354903,4,3,3,"(1:44) (Shotgun) PENALTY on DAL, Delay of Game, 5 yards, enforced at PHI 3 - No Play."
4951316,59072,4,"01:44","PHI",34,"DAL",37,NA,NA,0,26,26,0,0,NA,4951312,NA,166,NA,NA,NA,NA,0,"","","","","","L","","","","DAL 19","MADE - M","","","","","","","","","","","","","FIELD GOAL","",NA,0,"",NA,4951319,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAL",0.903,0,0.903,0.855,"Field Goal",2.7505526812982,4,8,8,"(1:44) B.Maher 26 yard field goal is GOOD, Center-M.Overton, Holder-B.Anger."
4951319,59072,4,"01:41","DAL",40,"PHI",34,NA,NA,40,72,72,0,0,NA,4951316,NA,167,NA,NA,NA,NA,0,"","","","","","C","","","72","DAL 19","TOUCHBACK","10","","","","","","","","","","PHI 35","","KICKOFF","",NA,0,"",NA,4951321,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAL",0.897,0.9,0.775,0.928,"Kickoff",1.02787229920246,0,0,65,"B.Maher kicks 65 yards from DAL 35 to end zone, Touchback."
4951321,59072,4,"01:41","DAL",40,"PHI",34,10,1,6,6,NA,0,0,NA,4951319,NA,168,2.1,4.6,1,1,2,"PHI 03","","DOWNS","KICKOFF - TB","SL","L","","","","","","","O","C","COMPLETE","XR","3","5","","","","","P","","",5,0,"",NA,4951322,1,3,"11","11","Shotgun","","STANDARD DROP",0,0,0,6,"4 Sim","2Z","Zone",2,"Zone Simulated","2 Zone Simulated","3 2 6","DAL",0.905,0.948,0.98,0.946,"P",0.977105090910883,1,10,75,"(1:41) (Shotgun) G.Minshew pass short left to Z.Pascal to PHI 31 for 6 yards (N.Wright)."
4951322,59072,4,"01:19","DAL",40,"PHI",34,10,2,15,15,NA,1,0,NA,4951321,NA,169,2,2.1,14,5,2,"PHI 14","","DOWNS","KICKOFF - TB","SD","L","","","","","","","O","O","COMPLETE","H7","24","1","","","","","P","","",26,0,"",1,4951323,1,3,"11","10","Shotgun","","STANDARD DROP",0,0,0,6,"4 Sim","2Z","Zone",2,"Zone Simulated","2 Zone Simulated","3 2 6","DAL",0.909,1,1,0.932,"P",1.26865788142237,2,4,69,"(1:19) (No Huddle, Shotgun) G.Minshew pass short middle to K.Gainwell to PHI 46 for 15 yards (D.Bland)."
4951323,59072,4,"00:59","DAL",40,"PHI",34,10,3,13,13,NA,1,0,NA,4951322,NA,170,2,4.5,0,0,2,"PHI 11","","DOWNS","KICKOFF - TB","SR","C","","","","","","","O","O","COMPLETE","SA","52","13","","","","","P","","",27,0,"",1,4951324,1,3,"11","10","Shotgun","","STANDARD DROP",0,0,0,6,"4 Sim","4","Zone",2,"Zone Simulated","2 Zone Simulated","3 2 6","DAL",0.878,1,1,0.932,"P",2.52898322786052,1,10,54,"(:59) (No Huddle, Shotgun) G.Minshew pass short right to A.Brown ran ob at DAL 41 for 13 yards."
4951324,59072,4,"00:51","DAL",40,"PHI",34,10,4,0,NA,NA,0,0,NA,4951323,NA,171,2.3,2.9,NA,NA,2,"","","DOWNS","KICKOFF - TB","SD","R","BP","","","","","","O","C","BATTED PASS","","","0","","","","","P","","",10,0,"",NA,4951325,1,2,"11","10","Shotgun","","STANDARD DROP",0,0,0,6,"4 Sim","2Z","Zone",2,"Zone Simulated","2 Zone Simulated","3 2 6","DAL",0.847,1,0.994,0.916,"P",3.09411124197168,1,10,41,"(:51) (Shotgun) G.Minshew pass incomplete short left to A.Brown (C.Golston). Pass broken up by Golston in the backfield"
4951325,59072,4,"00:48","DAL",40,"PHI",34,10,5,22,22,NA,0,0,NA,4951324,NA,172,2.2,3,3,3,2,"PHI 06","PHI 11; PHI 16","DOWNS","KICKOFF - TB","SD","R","","","","","","","O","C","COMPLETE","4R","37","19","","","","","P","","",12,0,"1; DAL 25",1,4951326,1,2,"11","10","Shotgun","","STANDARD DROP",0,0,0,6,"4 Sim","2Z","Zone",2,"Zone Simulated","2 Zone Simulated","3 2 6","DAL",0.868,1,0.994,0.917,"P",2.63121084983242,2,10,41,"(:48) (Shotgun) G.Minshew pass deep middle to D.Smith to DAL 19 for 22 yards (N.Wright)."
4951326,59072,4,"00:34","DAL",40,"PHI",34,10,6,0,NA,NA,1,0,NA,4951325,NA,173,NA,NA,NA,NA,2,"","PHI 06; PHI 88","DOWNS","KICKOFF - TB","SD","R","","","","","","","","","SPIKE","","","0","","","","","P","","",32,0,"",NA,4951327,1,2,"11","10","UC","","OTHER",0,0,0,6,"4 Sim","Other","Other",NA,"Other Simulated","Other Simulated","3 2 6","DAL",0.777,1,0.927,0.88,"P",4.81586584620219,1,10,19,"(:34) (No Huddle) G.Minshew spiked the ball to stop the clock."
4951327,59072,4,"00:33","DAL",40,"PHI",34,10,7,0,NA,NA,0,0,NA,4951326,NA,174,NA,3,NA,NA,2,"","PHI 16; PHI 88","DOWNS","KICKOFF - TB","SD","R","OT","","","","","","O","O","INCOMPLETE","7R","45","28","","","","","P","","",4,0,"1; DAL 25",NA,4951328,1,2,"11","10","Shotgun","","STANDARD DROP",0,0,0,6,"4 Sim","4","Zone",2,"Zone Simulated","2 Zone Simulated","3 2 6","DAL",0.806,1,0.927,0.88,"P",4.35805636006607,2,10,19,"(:33) (Shotgun) G.Minshew pass incomplete deep right to D.Smith (N.Wright)."
